"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2013","1,586.95","1,605.45","1,605.45","1,582.20","57.64K","-0.42%"
"16-01-2013","1,572.70","1,588.05","1,591.15","1,570.00","62.35K","-0.90%"
"17-01-2013","1,599.90","1,577.15","1,645.80","1,570.00","225.98K","1.73%"
"18-01-2013","1,587.00","1,609.80","1,614.70","1,578.55","71.61K","-0.81%"
"21-01-2013","1,596.90","1,594.75","1,621.00","1,587.95","64.27K","0.62%"
"22-01-2013","1,578.90","1,596.95","1,609.90","1,572.30","48.90K","-1.13%"
"23-01-2013","1,556.00","1,581.15","1,592.50","1,535.00","83.08K","-1.45%"
"24-01-2013","1,528.60","1,558.00","1,574.40","1,516.15","75.18K","-1.76%"
"25-01-2013","1,584.60","1,538.60","1,603.70","1,533.40","248.51K","3.66%"
"28-01-2013","1,570.25","1,598.95","1,612.15","1,561.70","107.37K","-0.91%"
"29-01-2013","1,549.05","1,570.25","1,577.95","1,545.10","71.13K","-1.35%"
"30-01-2013","1,523.00","1,555.00","1,559.80","1,511.60","90.63K","-1.68%"
"31-01-2013","1,503.70","1,523.00","1,530.05","1,495.00","57.39K","-1.27%"
"01-02-2013","1,521.60","1,504.00","1,551.90","1,500.00","105.24K","1.19%"
"04-02-2013","1,508.90","1,533.10","1,549.00","1,505.00","58.59K","-0.83%"
"05-02-2013","1,504.25","1,502.05","1,524.65","1,483.15","70.95K","-0.31%"
"06-02-2013","1,512.65","1,519.35","1,531.00","1,506.00","63.39K","0.56%"
"07-02-2013","1,498.80","1,515.00","1,525.10","1,490.40","49.88K","-0.92%"
"08-02-2013","1,485.80","1,510.00","1,510.00","1,472.25","47.75K","-0.87%"
"11-02-2013","1,483.15","1,498.40","1,511.95","1,476.00","43.54K","-0.18%"
"12-02-2013","1,489.55","1,490.45","1,505.90","1,478.00","47.89K","0.43%"
"13-02-2013","149.39","149.83","153.90","148.06","1.62M","-89.97%"
"14-02-2013","148.15","149.25","150.79","148.00","331.52K","-0.83%"
"15-02-2013","148.56","148.00","150.00","148.00","424.02K","0.28%"
"18-02-2013","149.15","149.12","151.30","148.62","525.44K","0.40%"
"19-02-2013","151.32","149.79","152.46","148.62","922.34K","1.45%"
"20-02-2013","151.86","152.00","153.50","151.30","550.04K","0.36%"
"21-02-2013","151.07","151.44","154.90","150.21","1.51M","-0.52%"
"22-02-2013","150.76","151.99","152.00","150.10","401.63K","-0.21%"
"25-02-2013","148.43","151.91","152.49","142.00","1.66M","-1.55%"
"26-02-2013","146.32","148.20","148.99","145.66","419.03K","-1.42%"
"27-02-2013","146.96","147.76","149.50","142.05","756.33K","0.44%"
"28-02-2013","144.22","150.00","150.00","143.80","328.88K","-1.86%"
"01-03-2013","142.22","144.20","145.37","141.52","321.55K","-1.39%"
"04-03-2013","142.87","142.14","145.20","140.50","362.36K","0.46%"
"05-03-2013","146.18","144.69","147.30","143.20","356.38K","2.32%"
"06-03-2013","149.21","146.96","150.40","145.50","641.47K","2.07%"
"07-03-2013","150.19","149.21","151.00","147.43","821.32K","0.66%"
"08-03-2013","150.87","150.50","152.50","150.21","330.46K","0.45%"
"11-03-2013","150.94","150.50","152.30","150.50","330.63K","0.05%"
"12-03-2013","158.79","151.00","160.50","150.98","4.39M","5.20%"
"13-03-2013","155.34","158.50","160.68","154.40","1.89M","-2.17%"
"14-03-2013","159.95","156.07","162.40","154.00","2.00M","2.97%"
"15-03-2013","157.31","160.90","161.12","156.40","683.09K","-1.65%"
"18-03-2013","156.56","156.90","158.80","155.10","451.22K","-0.48%"
"19-03-2013","151.10","156.40","157.49","149.70","548.93K","-3.49%"
"20-03-2013","148.55","151.19","151.19","147.20","664.98K","-1.69%"
"21-03-2013","148.01","149.84","151.40","147.50","769.25K","-0.36%"
"22-03-2013","148.34","148.30","149.80","146.64","256.22K","0.22%"
"25-03-2013","147.53","149.01","152.50","147.03","538.33K","-0.55%"
"26-03-2013","147.01","148.50","148.80","146.15","171.23K","-0.35%"
"28-03-2013","147.55","147.90","150.27","146.55","830.25K","0.37%"
"01-04-2013","149.89","146.90","151.20","146.90","658.69K","1.59%"
"02-04-2013","154.75","148.40","156.90","148.40","1.37M","3.24%"
"03-04-2013","153.54","152.10","157.50","152.10","703.41K","-0.78%"
"04-04-2013","150.47","153.30","154.49","150.10","290.21K","-2.00%"
"05-04-2013","151.87","150.00","155.27","150.00","507.34K","0.93%"
"08-04-2013","151.56","151.90","154.30","151.01","342.35K","-0.20%"
"09-04-2013","150.22","151.45","153.60","147.84","403.45K","-0.88%"
"10-04-2013","150.34","150.51","152.00","148.50","241.60K","0.08%"
"11-04-2013","150.73","151.10","153.46","150.12","280.29K","0.26%"
"12-04-2013","149.34","151.10","151.10","149.00","128.12K","-0.92%"
"15-04-2013","150.04","149.20","151.60","149.00","157.91K","0.47%"
"16-04-2013","150.88","150.78","153.40","150.04","326.76K","0.56%"
"17-04-2013","151.13","151.50","152.79","150.71","198.28K","0.17%"
"18-04-2013","151.79","149.60","155.70","149.60","936.74K","0.44%"
"22-04-2013","152.81","152.60","153.32","151.15","199.34K","0.67%"
"23-04-2013","152.12","153.00","154.00","151.51","229.10K","-0.45%"
"25-04-2013","151.53","153.00","153.44","151.25","172.97K","-0.39%"
"26-04-2013","151.73","151.53","155.90","150.26","657.00K","0.13%"
"29-04-2013","154.29","150.50","155.60","148.91","872.57K","1.69%"
"30-04-2013","159.28","154.00","161.00","154.00","1.80M","3.23%"
"02-05-2013","161.25","160.07","164.10","156.11","1.06M","1.24%"
"03-05-2013","162.17","162.00","163.90","160.01","563.01K","0.57%"
"06-05-2013","163.01","163.40","164.50","161.50","406.07K","0.52%"
"07-05-2013","163.65","163.70","164.54","162.64","341.48K","0.39%"
"08-05-2013","163.43","164.10","167.97","162.18","1.42M","-0.13%"
"09-05-2013","162.91","163.63","164.70","162.20","337.94K","-0.32%"
"10-05-2013","163.69","162.91","166.03","162.46","635.43K","0.48%"
"13-05-2013","163.16","165.10","167.49","162.40","544.00K","-0.32%"
"14-05-2013","156.33","158.51","160.78","155.80","1.05M","-4.19%"
"15-05-2013","157.36","158.28","159.30","157.02","353.04K","0.66%"
"16-05-2013","156.63","155.90","158.40","155.12","193.19K","-0.46%"
"17-05-2013","155.72","157.60","157.60","154.73","228.86K","-0.58%"
"20-05-2013","154.83","156.94","158.90","154.12","253.16K","-0.57%"
"21-05-2013","153.47","156.09","156.09","152.56","384.60K","-0.88%"
"22-05-2013","152.89","154.27","154.84","152.37","209.68K","-0.38%"
"23-05-2013","151.40","153.70","153.70","150.09","313.94K","-0.97%"
"24-05-2013","152.24","153.00","153.29","151.25","217.88K","0.55%"
"27-05-2013","152.03","152.15","153.80","151.50","256.14K","-0.14%"
"28-05-2013","151.29","151.50","152.50","150.60","295.91K","-0.49%"
"29-05-2013","151.57","152.10","153.39","151.00","213.16K","0.19%"
"30-05-2013","150.07","151.00","152.45","148.80","376.88K","-0.99%"
"31-05-2013","148.68","149.00","150.00","148.00","169.54K","-0.93%"
"03-06-2013","146.74","148.50","149.75","145.10","134.75K","-1.30%"
"04-06-2013","146.22","145.30","150.90","145.30","478.28K","-0.35%"
"05-06-2013","145.95","144.90","147.00","144.90","112.19K","-0.18%"
"06-06-2013","146.37","146.50","147.00","145.53","88.04K","0.29%"
"07-06-2013","145.17","146.62","148.49","144.60","142.78K","-0.82%"
"10-06-2013","142.56","144.68","146.05","142.11","173.12K","-1.80%"
"11-06-2013","137.57","141.90","141.90","137.00","260.61K","-3.50%"
"12-06-2013","110.06","137.20","137.22","110.06","5.90M","-20.00%"
"13-06-2013","102.64","88.05","109.80","88.05","34.11M","-6.74%"
"14-06-2013","109.11","106.50","111.40","106.50","9.55M","6.30%"
"17-06-2013","110.62","110.64","112.92","109.56","3.45M","1.38%"
"18-06-2013","110.61","111.68","113.55","110.10","2.81M","-0.01%"
"19-06-2013","108.36","111.44","111.70","108.00","1.71M","-2.03%"
"20-06-2013","104.88","107.50","107.50","101.51","1.42M","-3.21%"
"21-06-2013","98.41","104.50","104.50","90.50","2.87M","-6.17%"
"24-06-2013","95.93","98.00","98.29","94.81","1.80M","-2.52%"
"25-06-2013","98.47","95.92","99.90","93.28","2.23M","2.65%"
"26-06-2013","96.52","99.00","101.49","95.10","1.44M","-1.98%"
"27-06-2013","98.42","97.09","99.30","96.72","1.12M","1.97%"
"28-06-2013","99.69","99.80","100.29","98.53","867.20K","1.29%"
"01-07-2013","101.53","99.90","102.09","99.80","1.26M","1.85%"
"02-07-2013","99.90","102.00","103.00","99.36","1.22M","-1.61%"
"03-07-2013","97.80","99.40","99.88","97.10","628.64K","-2.10%"
"04-07-2013","99.11","97.70","101.25","97.70","1.00M","1.34%"
"05-07-2013","100.00","99.88","102.38","99.00","1.34M","0.90%"
"08-07-2013","98.62","99.30","99.59","97.30","391.45K","-1.38%"
"09-07-2013","100.02","99.49","101.40","99.20","722.23K","1.42%"
"10-07-2013","107.81","101.22","109.45","101.22","6.31M","7.79%"
"11-07-2013","107.91","109.50","110.90","107.12","2.31M","0.09%"
"12-07-2013","106.84","108.02","108.68","105.23","794.20K","-0.99%"
"15-07-2013","107.58","106.31","108.79","104.88","828.78K","0.69%"
"16-07-2013","107.04","106.60","110.00","105.17","1.26M","-0.50%"
"17-07-2013","107.71","108.00","111.70","106.70","2.59M","0.63%"
"18-07-2013","106.30","108.22","110.70","105.50","1.36M","-1.31%"
"19-07-2013","106.64","107.20","108.48","106.00","709.55K","0.32%"
"22-07-2013","105.81","107.20","107.98","105.11","552.86K","-0.78%"
"23-07-2013","106.31","106.30","107.60","105.88","443.19K","0.47%"
"24-07-2013","103.16","106.00","106.00","101.81","660.51K","-2.96%"
"25-07-2013","101.95","103.00","104.39","101.40","527.75K","-1.17%"
"26-07-2013","107.28","102.31","110.60","98.01","4.82M","5.23%"
"29-07-2013","107.25","107.84","110.48","105.70","1.87M","-0.03%"
"30-07-2013","104.24","108.00","108.20","102.54","815.30K","-2.81%"
"31-07-2013","105.67","103.00","107.50","99.00","1.42M","1.37%"
"01-08-2013","103.26","106.50","106.76","102.23","624.64K","-2.28%"
"02-08-2013","99.30","103.28","103.97","98.10","1.07M","-3.83%"
"05-08-2013","100.48","99.60","101.20","98.41","557.71K","1.19%"
"06-08-2013","97.03","99.00","99.90","95.83","889.82K","-3.43%"
"07-08-2013","96.94","98.00","98.48","95.50","468.89K","-0.09%"
"08-08-2013","96.61","97.10","99.69","96.10","729.60K","-0.34%"
"12-08-2013","97.33","97.33","98.90","97.06","428.33K","0.75%"
"13-08-2013","99.78","98.22","100.83","97.64","912.45K","2.52%"
"14-08-2013","102.04","99.90","103.50","99.80","1.43M","2.26%"
"16-08-2013","96.62","101.20","101.69","96.12","714.85K","-5.31%"
"19-08-2013","96.38","96.70","98.34","95.60","451.22K","-0.25%"
"20-08-2013","97.61","95.00","98.18","94.01","689.64K","1.28%"
"21-08-2013","95.47","98.14","98.83","94.75","779.60K","-2.19%"
"22-08-2013","95.88","95.00","97.50","94.01","497.22K","0.43%"
"23-08-2013","95.67","96.60","96.89","95.22","374.17K","-0.22%"
"26-08-2013","97.24","95.50","99.20","95.50","698.33K","1.64%"
"27-08-2013","94.91","96.00","96.77","94.50","340.99K","-2.40%"
"28-08-2013","93.76","94.20","95.00","92.03","418.34K","-1.21%"
"29-08-2013","94.16","94.90","95.88","93.80","375.94K","0.43%"
"30-08-2013","94.14","94.00","96.04","93.80","361.58K","-0.02%"
"02-09-2013","95.12","94.50","96.70","94.30","519.91K","1.04%"
"03-09-2013","94.62","95.30","95.80","94.10","545.16K","-0.53%"
"04-09-2013","94.36","95.00","95.60","93.97","819.68K","-0.27%"
"05-09-2013","94.46","95.50","96.00","94.25","347.33K","0.11%"
"06-09-2013","94.28","95.34","95.34","93.60","547.78K","-0.19%"
"10-09-2013","98.72","95.00","100.49","95.00","2.09M","4.71%"
"11-09-2013","100.33","99.30","101.69","97.34","1.39M","1.63%"
"12-09-2013","101.16","101.09","105.47","100.10","1.71M","0.83%"
"13-09-2013","101.08","101.40","102.49","100.10","438.33K","-0.08%"
"16-09-2013","101.28","102.30","102.30","100.60","531.03K","0.20%"
"17-09-2013","99.93","101.20","101.50","99.53","180.95K","-1.33%"
"18-09-2013","101.81","99.90","103.50","99.01","717.53K","1.88%"
"19-09-2013","103.43","103.50","104.90","102.20","1.02M","1.59%"
"20-09-2013","101.39","103.50","104.98","99.50","841.55K","-1.97%"
"23-09-2013","101.88","100.40","103.88","100.20","802.95K","0.48%"
"24-09-2013","100.54","101.50","102.69","100.10","519.42K","-1.32%"
"25-09-2013","99.15","100.80","101.62","98.59","379.35K","-1.38%"
"26-09-2013","100.77","99.80","101.00","99.00","913.74K","1.63%"
"27-09-2013","100.44","100.62","102.00","100.01","494.85K","-0.33%"
"30-09-2013","99.12","99.50","100.50","98.42","358.71K","-1.31%"
"01-10-2013","100.07","99.60","100.79","98.50","343.10K","0.96%"
"03-10-2013","101.05","101.00","103.20","100.61","1.06M","0.98%"
"04-10-2013","100.81","101.60","102.89","100.50","408.35K","-0.24%"
"07-10-2013","100.82","100.50","101.77","100.01","368.32K","0.01%"
"08-10-2013","100.10","101.49","101.66","99.50","309.83K","-0.71%"
"09-10-2013","100.67","100.20","101.30","99.90","424.69K","0.57%"
"10-10-2013","107.50","100.80","110.20","100.80","7.40M","6.78%"
"11-10-2013","110.72","109.00","112.40","107.00","3.72M","3.00%"
"14-10-2013","110.90","110.80","114.40","110.50","2.13M","0.16%"
"15-10-2013","107.67","111.50","113.00","107.11","1.27M","-2.91%"
"17-10-2013","111.57","107.62","112.75","107.62","1.44M","3.62%"
"18-10-2013","111.26","112.18","113.33","110.16","1.07M","-0.28%"
"21-10-2013","111.35","111.80","113.00","110.50","804.95K","0.08%"
"22-10-2013","110.58","111.77","113.50","110.25","926.29K","-0.69%"
"23-10-2013","108.50","110.80","110.99","107.80","607.08K","-1.88%"
"24-10-2013","110.83","108.10","115.72","108.10","2.24M","2.15%"
"25-10-2013","109.25","110.50","111.49","107.00","650.50K","-1.43%"
"28-10-2013","107.40","109.96","109.97","107.00","465.69K","-1.69%"
"29-10-2013","107.94","107.98","109.80","106.00","605.98K","0.50%"
"30-10-2013","108.65","108.60","110.80","107.04","673.61K","0.66%"
"31-10-2013","109.39","109.39","110.30","108.50","542.79K","0.68%"
"01-11-2013","112.48","109.00","113.80","109.00","1.84M","2.82%"
"05-11-2013","113.86","112.80","115.90","111.50","1.26M","1.23%"
"06-11-2013","113.05","113.86","118.29","112.40","3.02M","-0.71%"
"07-11-2013","105.47","113.20","115.59","102.00","6.35M","-6.70%"
"08-11-2013","102.95","106.00","106.50","101.20","1.50M","-2.39%"
"11-11-2013","100.89","102.00","103.69","100.51","561.84K","-2.00%"
"12-11-2013","101.97","101.00","104.25","100.20","1.05M","1.07%"
"13-11-2013","101.25","102.60","103.45","100.62","481.06K","-0.71%"
"14-11-2013","102.34","101.50","103.60","101.34","564.25K","1.08%"
"18-11-2013","102.92","102.70","103.80","102.31","408.24K","0.57%"
"19-11-2013","102.97","102.50","103.90","102.50","373.75K","0.05%"
"20-11-2013","102.72","103.00","105.50","101.78","1.35M","-0.24%"
"21-11-2013","100.66","103.00","103.50","100.00","454.23K","-2.01%"
"22-11-2013","99.64","101.02","103.78","99.00","1.03M","-1.01%"
"25-11-2013","99.86","100.10","101.75","99.52","564.69K","0.22%"
"26-11-2013","99.75","100.67","101.43","99.30","467.53K","-0.11%"
"27-11-2013","97.89","100.00","100.60","97.50","891.12K","-1.86%"
"28-11-2013","97.94","98.80","99.28","97.40","794.38K","0.05%"
"29-11-2013","98.75","97.80","99.83","97.80","974.97K","0.83%"
"02-12-2013","99.33","98.80","101.15","98.80","793.49K","0.59%"
"03-12-2013","98.94","99.40","100.22","98.50","452.65K","-0.39%"
"04-12-2013","99.32","98.50","101.90","98.50","1.99M","0.38%"
"05-12-2013","99.64","100.33","102.39","99.18","1.53M","0.32%"
"06-12-2013","99.51","99.60","100.50","99.30","470.28K","-0.13%"
"09-12-2013","99.19","100.90","101.00","99.00","582.44K","-0.32%"
"10-12-2013","98.80","99.50","100.60","98.14","731.21K","-0.39%"
"11-12-2013","97.81","99.29","99.48","97.36","459.03K","-1.00%"
"12-12-2013","96.34","98.10","98.90","96.00","762.71K","-1.50%"
"13-12-2013","95.69","95.50","96.90","95.32","542.21K","-0.67%"
"16-12-2013","95.78","95.01","97.00","95.01","657.04K","0.09%"
"17-12-2013","96.28","95.81","97.20","95.81","403.19K","0.52%"
"18-12-2013","97.03","95.66","97.88","95.66","492.85K","0.78%"
"19-12-2013","96.11","97.50","97.80","95.80","365.04K","-0.95%"
"20-12-2013","97.89","95.60","98.90","95.60","982.30K","1.85%"
"23-12-2013","98.68","98.00","99.77","98.00","508.81K","0.81%"
"24-12-2013","98.45","99.00","99.50","97.90","404.66K","-0.23%"
"26-12-2013","99.17","98.00","100.80","97.91","1.09M","0.73%"
"27-12-2013","98.73","99.22","99.90","98.50","297.10K","-0.44%"
"30-12-2013","98.47","99.03","99.44","98.00","362.62K","-0.26%"
"31-12-2013","97.97","99.00","99.10","97.60","470.08K","-0.51%"
"01-01-2014","99.25","98.60","100.50","98.03","971.11K","1.31%"
"02-01-2014","98.26","99.53","101.24","98.10","1.02M","-1.00%"
"03-01-2014","98.70","98.00","99.05","97.70","385.62K","0.45%"
"06-01-2014","98.48","99.00","99.47","98.20","282.73K","-0.22%"
"07-01-2014","101.78","98.14","103.00","98.14","2.83M","3.35%"
"08-01-2014","102.89","102.57","104.30","101.47","2.65M","1.09%"
"09-01-2014","104.99","103.40","105.50","101.62","3.22M","2.04%"
"10-01-2014","104.67","105.00","109.09","103.08","4.05M","-0.30%"
"13-01-2014","102.19","105.19","105.57","101.21","941.66K","-2.37%"
"14-01-2014","101.77","102.40","103.77","101.30","736.27K","-0.41%"
"15-01-2014","101.98","101.62","103.20","101.60","515.43K","0.21%"
